from_id,to_id,relationship,notes
REQ-001,ADR-0001,decided_by,Config-first experiment history
REQ-001,STAGE-01,implemented_in_stage,Foundation seeds tracked experiment roots
REQ-001,STAGE-02,implemented_in_stage,Authoring flow scaffolds derived experiments
REQ-001,ACC-001,verified_by,Scaffold and resolve scenarios
REQ-001,ACC-008,verified_by,Model composition scenarios show shared C++ supports config-first architecture expression
REQ-001,ACC-009,verified_by,Experiment model scaffolding scenarios show config-first derivation from a base
REQ-002,ADR-0002,decided_by,Resolved child run is the runtime contract
REQ-002,ADR-0003,decided_by,Boundary keeps resolution in Python and execution in C++
REQ-002,STAGE-01,implemented_in_stage,Shared domain models established
REQ-002,STAGE-02,implemented_in_stage,Resolution emits child-run contracts
REQ-002,STAGE-05,implemented_in_stage,Trainer consumes resolved config only
REQ-002,ACC-001,verified_by,Resolve scenarios verify child-run materialization
REQ-003,ADR-0001,decided_by,Config-first bases establish deployment roots
REQ-003,STAGE-01,implemented_in_stage,Seed bases exist in tracked repo layout
REQ-003,STAGE-09,implemented_in_stage,FPGA path remains part of the shared root model
REQ-003,ACC-006,verified_by,FPGA scenarios depend on track-aware bases
REQ-004,ADR-0001,decided_by,Authoring remains config-first
REQ-004,ADR-0003,decided_by,Authoring tools stay in Python orchestration
REQ-004,STAGE-02,implemented_in_stage,Scaffold check and resolve authoring flow
REQ-004,STAGE-04,implemented_in_stage,Authoring-only environments remain first-class
REQ-004,ACC-001,verified_by,Authoring and resolution scenarios
REQ-005,ADR-0002,decided_by,Structured output belongs to the shared contract layer
REQ-005,STAGE-02,implemented_in_stage,Validation output contract
REQ-005,ACC-001,verified_by,Aggregated validation errors scenario
REQ-006,ADR-0002,decided_by,Resolved child runs carry dataset metadata
REQ-006,STAGE-03,implemented_in_stage,Dataset catalog and prepare flow
REQ-006,ACC-002,verified_by,Dataset preparation scenarios
REQ-007,ADR-0004,decided_by,Doctor is the entrypoint for environment diagnostics
REQ-007,STAGE-04,implemented_in_stage,Environment classification and gating
REQ-007,ACC-003,verified_by,Environment classification scenarios
REQ-008,ADR-0002,decided_by,Build consumes the shared runtime contract
REQ-008,ADR-0004,decided_by,Build follows environment strategy
REQ-008,ADR-0007,decided_by,Build compiles experiment-owned model code rather than TOML-defined architecture
REQ-008,ADR-0009,decided_by,Per-experiment binaries preserve production portability
REQ-008,STAGE-04,implemented_in_stage,Libtorch bootstrap and platform selection
REQ-008,STAGE-05,implemented_in_stage,CMake build and fingerprinting for per-experiment binaries
REQ-008,ACC-003,verified_by,Build scenarios
REQ-009,ADR-0002,decided_by,Run execution consumes resolved child runs
REQ-009,ADR-0006,decided_by,Run artifacts stay text-first and versioned
REQ-009,ADR-0010,decided_by,Runtime artifact processing includes Python-owned TensorBoard projection
REQ-009,STAGE-06,implemented_in_stage,Local scratch execution and artifact writing
REQ-009,ACC-004,verified_by,Local run scenarios
REQ-010,ADR-0002,decided_by,Initialization is part of the resolved contract
REQ-010,STAGE-07,implemented_in_stage,Resume and fine-tune support
REQ-010,ACC-005,verified_by,Checkpoint initialization scenarios
REQ-011,ADR-0005,decided_by,Promotion depends on curated history rather than automatic upstreaming
REQ-011,ADR-0006,decided_by,Compare reports stay text-first and versioned
REQ-011,STAGE-08,implemented_in_stage,Matrix and compare workflows
REQ-011,ACC-005,verified_by,Compare scenarios
REQ-012,ADR-0005,decided_by,FPGA promotion happens inside the curated model
REQ-012,ADR-0012,decided_by,FPGA deployment keeps flat explicit deploy profiles
REQ-012,STAGE-09,implemented_in_stage,FPGA deployment extension
REQ-012,ACC-006,verified_by,FPGA scenarios
REQ-013,ADR-0005,decided_by,Curated upstream experiment history
REQ-013,STAGE-01,implemented_in_stage,Foundation seeds curated repo-shape rules
REQ-013,STAGE-02,implemented_in_stage,Authoring flow preserves repo-local numbering and ownership
REQ-013,STAGE-08,implemented_in_stage,Reports support promotion discussions without upstreaming all results
REQ-013,STAGE-09,implemented_in_stage,FPGA promotion stays explicit
REQ-013,ACC-006,verified_by,FPGA promotion scenarios
REQ-014,ADR-0006,decided_by,Planning artifacts stay text-first and layered
REQ-014,STAGE-01,implemented_in_stage,Foundation now includes the canonical planning layer
REQ-014,ACC-007,verified_by,Planning update-order scenario
REQ-015,ADR-0006,decided_by,Narrative docs remain readable projections
REQ-015,STAGE-01,implemented_in_stage,Narrative docs cite canonical IDs
REQ-015,ACC-007,verified_by,Planning citation scenarios
REQ-016,ADR-0006,decided_by,Stage coverage is part of the planning trace layer
REQ-016,STAGE-01,implemented_in_stage,Stage plans declare explicit coverage
REQ-016,ACC-007,verified_by,Stage coverage scenario
REQ-017,ADR-0006,decided_by,Acceptance artifacts remain readable and tagged
REQ-017,STAGE-01,implemented_in_stage,Acceptance folder seeded in planning layer
REQ-017,STAGE-08,implemented_in_stage,Comparison and report workflows stay connected to acceptance artifacts
REQ-017,ACC-007,verified_by,Planning acceptance-artifact scenario
REQ-018,ADR-0006,decided_by,Checksum report is a text-first planning artifact
REQ-018,STAGE-01,implemented_in_stage,Coverage report introduced in planning layer
REQ-018,STAGE-08,implemented_in_stage,Report-oriented stage deepens review surfaces
REQ-018,ACC-007,verified_by,Coverage report scenario
REQ-019,ADR-0007,decided_by,Model readability boundary is explicit
REQ-019,ADR-0003,decided_by,Shared code owns trainer-side model and optimizer internals
REQ-019,STAGE-05,implemented_in_stage,Trainer code must keep stage and block structure easy to inspect
REQ-019,ACC-008,verified_by,Model structure boundary scenarios
REQ-020,ADR-0008,decided_by,Experiments own explicit C++ model definitions
REQ-020,STAGE-02,implemented_in_stage,Scaffolded experiments receive copied model.cpp files from a base
REQ-020,ACC-009,verified_by,Experiment model definition scenarios include copied entrypoint and provenance conventions
REQ-021,ADR-0002,decided_by,Resolved dataset metadata feeds build_model parameters without moving architecture back into TOML
REQ-021,ADR-0007,decided_by,Architecture and quantization move out of TOML while dataset-dependent inputs stay narrow
REQ-021,ADR-0009,decided_by,Experiment model artifacts stay production-portable after cross-repo copy
REQ-021,STAGE-02,implemented_in_stage,Scaffolding establishes the portable artifact boundary
REQ-021,STAGE-05,implemented_in_stage,Build compiles portable experiment model artifacts
REQ-021,ACC-009,verified_by,Production-portable model artifact scenarios include narrow build-model inputs
REQ-022,ADR-0010,decided_by,Python projects trainer metrics into TensorBoard event logs
REQ-022,STAGE-06,implemented_in_stage,Local scratch runs generate TensorBoard event logs from raw trainer metrics
REQ-022,ACC-004,verified_by,Runtime artifact scenarios include TensorBoard projection
REQ-023,ADR-0013,decided_by,Experiment selection stays id-based even when folders are grouped
REQ-023,STAGE-02,implemented_in_stage,Authoring resolves experiments recursively by unique id
REQ-023,ACC-001,verified_by,Grouped experiment scenarios keep id-based lookup
CON-001,ADR-0001,decided_by,Config-first history depends on immutable roots
CON-001,ACC-001,verified_by,Authoring scenarios preserve template and experiment history
CON-002,ADR-0001,decided_by,Config-first experiments keep deploy and runtime intent explicit
CON-002,ACC-001,verified_by,Authoring scenarios keep runtime and deploy target separate
CON-003,ADR-0003,decided_by,Python and C++ ownership boundary
CON-003,ACC-001,verified_by,Authoring flow routes changes to the correct layer
CON-003,ACC-003,verified_by,Build flow preserves the trainer boundary
CON-003,ACC-008,verified_by,Model structure boundary scenarios show shared C++ model code respects the Python/C++ ownership line
CON-004,ADR-0004,decided_by,Environment strategy defines fallback discipline
CON-004,ACC-004,verified_by,Short-run fallback and full-run policy scenarios
CON-005,ADR-0006,decided_by,Text-first versioned artifact policy
CON-005,ACC-005,verified_by,Compare output remains text-first and versioned
CON-005,ACC-007,verified_by,Planning layer uses readable ledgers and reports
CON-006,ADR-0004,decided_by,Environment strategy depends on pinned Libtorch inputs
CON-006,ACC-003,verified_by,Libtorch checksum and pinning scenario
CON-007,ADR-0002,decided_by,Dataset metadata is part of the resolved contract
CON-007,ACC-002,verified_by,Dataset metadata scenarios
CON-008,ADR-0004,decided_by,One Python environment contract
CON-008,ACC-003,verified_by,Doctor and build scenarios use uv and python -m
CON-009,ACC-007,verified_by,Planning consistency scenarios enforce stage coverage and blocking unknown rules
CON-010,ADR-0012,decided_by,FPGA deploy profiles stay flat and explicit without inheritance
CON-010,ACC-006,verified_by,FPGA profile independence scenario
CON-011,ADR-0005,decided_by,Curated promotion model depends on git-level provenance
CON-011,ADR-0008,decided_by,Tracked experiment folders carry the owned authored files that define the experiment
CON-011,ACC-004,verified_by,Local run provenance scenario
CON-011,ACC-009,verified_by,Experiment scaffolding scenarios pin the tracked folder shape used for reproducibility
CON-012,ACC-004,verified_by,Clean-tree full-run policy scenario
CON-013,ADR-0002,decided_by,Dataset metadata crosses the trainer boundary without turning resolved TOML into architecture config
CON-013,ADR-0007,decided_by,TOML owns training concerns while compiled model code owns architecture and quantization
CON-013,ACC-008,verified_by,Model structure boundary scenarios include trainer-supplied dataset build inputs
CON-014,ADR-0008,decided_by,Non-base experiments stay base-rooted
CON-014,ACC-009,verified_by,Experiment model definition scenarios
CON-015,ADR-0009,decided_by,Portable model code excludes framework dependencies and accepts only narrow trainer inputs
CON-015,ACC-009,verified_by,Production-portable model artifact scenarios
CON-016,ADR-0010,decided_by,TensorBoard logs remain derived visualization artifacts
CON-016,ACC-004,verified_by,Runtime artifact scenarios keep TensorBoard derived
ADR-0007,ADR-0001,refines,Narrows the broad config-first experiment decision for model structure
ADR-0007,ADR-0003,refines,Makes the trainer-side model and optimizer implementation boundary explicit
ADR-0008,ADR-0001,refines,Makes experiment-local architecture ownership explicit inside the config-first model
ADR-0008,ADR-0007,refines,Pairs shared-code structure rules with experiment-local model definitions
ADR-0009,ADR-0007,refines,Makes production portability the rationale for the architecture boundary
ADR-0009,ADR-0008,refines,Makes experiment-owned model files portable beyond the workbench
ADR-0010,ADR-0003,refines,Keeps TensorBoard projection on the Python side of the runtime boundary
ADR-0010,ADR-0006,refines,Keeps TensorBoard logs derived instead of canonical
R1,STAGE-01,verified_by,Foundation documents the canonical bootstrap path
R1,STAGE-04,verified_by,Environment bootstrap and doctor stay deterministic
R1,STAGE-05,verified_by,Build contract remains repeatable
R1,STAGE-06,verified_by,Run artifacts preserve provenance
R2,STAGE-02,verified_by,Authoring flow keeps change size reviewable
R2,STAGE-06,verified_by,Short runs remain the normal fast-feedback loop
R2,STAGE-08,verified_by,Promotion discussions use reports rather than raw sweeps
R3,STAGE-01,verified_by,Foundation owns the minimum CI and test-gate contract
R4,STAGE-02,verified_by,Authoring rules remain explicit in docs
R4,STAGE-03,verified_by,Dataset schema and cache rules remain explicit
R4,STAGE-08,verified_by,Promotion reasoning stays explicit in reports
R4,STAGE-09,verified_by,FPGA promotion criteria stay explicit
R5,STAGE-01,verified_by,Foundation defines curated ownership surfaces
R5,STAGE-02,verified_by,Authoring flow preserves repo-local numbering and routing
R6,STAGE-01,verified_by,Repo shape is defined once
R6,STAGE-04,verified_by,Bootstrap paths stay explicit
R6,STAGE-05,verified_by,Build roots stay environment-scoped
R7,STAGE-01,verified_by,Tracked-versus-local boundary is set early
R7,STAGE-03,verified_by,Dataset cache versus tracked inputs stays explicit
R7,STAGE-06,verified_by,Runtime outputs stay out of tracked source
R8,STAGE-04,verified_by,Libtorch lockfile policy is preserved
R8,STAGE-05,verified_by,CMake and fingerprint contract stay stable
R9,STAGE-01,verified_by,Foundation keeps uv and python -m as the only Python path
R9,STAGE-04,verified_by,Doctor and bootstrap preserve the same Python contract
R10,STAGE-01,verified_by,Tracked text artifacts remain first-class review surfaces
R10,STAGE-06,verified_by,Run manifests and summaries stay canonical
R10,STAGE-08,verified_by,Compare reports stay text-first
R10,STAGE-09,verified_by,FPGA validation outputs stay text-first
CON-017,ADR-0011,decided_by,Shared library additive-stability rule
CON-017,ACC-008,verified_by,Model structure boundary scenarios include shared library interface stability
CON-017,ACC-009,verified_by,Experiment model definition scenarios verify that shared library primitives are stable
CON-018,ADR-0013,decided_by,Group folders are organization-only and ids remain path-independent
CON-018,ACC-001,verified_by,Grouped experiment scenarios reject duplicate ids and keep path-independent selection
ADR-0011,ADR-0007,refines,Adds shared library stability constraint to the decision that C++ code defines model structure
ADR-0011,ADR-0008,refines,Extends experiment-owned model file design with shared library stability constraint
ADR-0011,ADR-0009,refines,Supports production portability by freezing existing shared library class interfaces
UNK-003,ADR-0012,decided_by,Future FPGA profile composition resolved in favor of flat explicit profiles
REQ-024,ADR-0014,decided_by,Convergence-aware comparison methodology defines the canonical derived feature set and rank aggregation approach
REQ-024,REQ-011,refines,Extends the compare report contract with first-class analytical content
REQ-024,STAGE-08,implemented_in_stage,Compare command derives convergence and stability features from raw metrics artifacts
REQ-024,ACC-005,verified_by,Compare scenarios must verify derived feature presence and rank summary output
ADR-0014,ADR-0010,refines,Separates per-run curve inspection from the decision-layer compare report
ADR-0014,ADR-0006,refines,Derived comparison features stay text-first and recomputable from canonical artifacts
REQ-006,ADR-0015,decided_by,Named file pattern and copy-paste independence refine the dataset catalog contract
REQ-025,ADR-0015,decided_by,Standard callable and CLI interface for dataset fetch scripts
REQ-025,STAGE-03,implemented_in_stage,Dataset fetch script interface defined in Stage 3
REQ-025,ACC-002,verified_by,Dataset preparation scenarios include standalone script invocation
CON-019,ADR-0015,decided_by,Name alignment across catalog key folder and script filename enforced by this decision
CON-019,ACC-002,verified_by,Dataset naming alignment scenarios
CON-020,ADR-0015,decided_by,Copy-paste independence enforced by this decision
CON-020,ACC-002,verified_by,Dataset fetch script self-containment scenarios
ADR-0015,REQ-006,refines,Adds explicit naming invariant and copy-paste independence to the dataset catalog contract
ADR-0015,REQ-025,refines,Codifies the standard callable and CLI interface for fetch scripts
